133    -22.771   -368.24 9.2009 0.0
134    -22.771   -361.73 9.2009 0.0
135    -22.771   -355.23 9.2009 0.0
136    -16.265   -400.77 9.2009 0.0
137    -16.265   -394.27 9.2009 0.0
138    -16.265   -387.76 9.2009 0.0
139    -16.265   -381.25 9.2009 0.0
140    -16.265   -374.75 9.2009 0.0
141    -16.265   -368.24 9.2009 0.0
142    -16.265   -361.73 9.2009 0.0
143    -16.265   -355.23 9.2009 0.0
144     -9.759   -400.77 9.2009 0.0
145     -9.759   -394.27 9.2009 0.0
146     -9.759   -387.76 9.2009 0.0
147     -9.759   -381.25 9.2009 0.0
148     -9.759   -374.75 9.2009 0.0
149     -9.759   -368.24 9.2009 0.0
150     -9.759   -361.73 9.2009 0.0
151     -9.759   -355.23 9.2009 0.0
152     -3.253   -400.77 9.2009 0.0
153     -3.253   -394.27 9.2009 0.0
154     -3.253   -387.76 9.2009 0.0
155     -3.253   -381.25 9.2009 0.0
156     -3.253   -374.75 9.2009 0.0
157     -3.253   -368.24 9.2009 0.0
158     -3.253   -361.73 9.2009 0.0
159     -3.253   -355.23 9.2009 0.0
160      3.253   -400.77 9.2009 0.0
161      3.253   -394.27 9.2009 0.0
162      3.253   -387.76 9.2009 0.0
163      3.253   -381.25 9.2009 0.0
164      3.253   -374.75 9.2009 0.0
165      3.253   -368.24 9.2009 0.0
166      3.253   -361.73 9.2009 0.0
167      3.253   -355.23 9.2009 0.0
168      9.759   -400.77 9.2009 0.0
169      9.759   -394.27 9.2009 0.0
170      9.759   -387.76 9.2009 0.0
171      9.759   -381.25 9.2009 0.0
172      9.759   -374.75 9.2009 0.0
173      9.759   -368.24 9.2009 0.0
174      9.759   -361.73 9.2009 0.0
175      9.759   -355.23 9.2009 0.0
176     16.265   -400.77 9.2009 0.0
177     16.265   -394.27 9.2009 0.0
178     16.265   -387.76 9.2009 0.0
179     16.265   -381.25 9.2009 0.0
180     16.265   -374.75 9.2009 0.0
181     16.265   -368.24 9.2009 0.0
182     16.265   -361.73 9.2009 0.0
183     16.265   -355.23 9.2009 0.0
184     22.771   -400.77 9.2009 0.0
185     22.771   -394.27 9.2009 0.0
186     22.771   -387.76 9.2009 0.0
187     22.771   -381.25 9.2009 0.0
188     22.771   -374.75 9.2009 0.0
189     22.771   -368.24 9.2009 0.0
190     22.771   -361.73 9.2009 0.0
191     22.771   -355.23 9.2009 0.0
192     31.229   -400.77 9.2009 0.0
193     31.229   -394.27 9.2009 0.0
194     31.229   -387.76 9.2009 0.0
195     31.229   -381.25 9.2009 0.0
196     31.229   -374.75 9.2009 0.0
197     31.229   -368.24 9.2009 0.0
198     31.229   -361.73 9.2009 0.0
199     31.229   -355.23 9.2009 0.0
200     37.735   -400.77 9.2009 0.0
201     37.735   -394.27 9.2009 0.0
202     37.735   -387.76 9.2009 0.0
203     37.735   -381.25 9.2009 0.0
204     37.735   -374.75 9.2009 0.0
205     37.735   -368.24 9.2009 0.0
206     37.735   -361.73 9.2009 0.0
207     37.735   -355.23 9.2009 0.0
208     44.241   -400.77 9.2009 0.0
209     44.241   -394.27 9.2009 0.0
210     44.241   -387.76 9.2009 0.0
211     44.241   -381.25 9.2009 0.0
212     44.241   -374.75 9.2009 0.0
213     44.241   -368.24 9.2009 0.0
214     44.241   -361.73 9.2009 0.0
215     44.241   -355.23 9.2009 0.0
216     50.747   -400.77 9.2009 0.0
217     50.747   -394.27 9.2009 0.0
218     50.747   -387.76 9.2009 0.0
219     50.747   -381.25 9.2009 0.0
220     50.747   -374.75 9.2009 0.0
221     50.747   -368.24 9.2009 0.0
222     50.747   -361.73 9.2009 0.0
223     50.747   -355.23 9.2009 0.0
224     57.253   -400.77 9.2009 0.0
225     57.253   -394.27 9.2009 0.0
226     57.253   -387.76 9.2009 0.0
227     57.253   -381.25 9.2009 0.0
228     57.253   -374.75 9.2009 0.0
229     57.253   -368.24 9.2009 0.0
230     57.253   -361.73 9.2009 0.0
231     57.253   -355.23 9.2009 0.0
232     63.759   -400.77 9.2009 0.0
233     63.759   -394.27 9.2009 0.0
234     63.759   -387.76 9.2009 0.0
235     63.759   -381.25 9.2009 0.0
236     63.759   -374.75 9.2009 0.0
237     63.759   -368.24 9.2009 0.0
238     63.759   -361.73 9.2009 0.0
239     63.759   -355.23 9.2009 0.0
240     70.265   -400.77 9.2009 0.0
241     70.265   -394.27 9.2009 0.0
242     70.265   -387.76 9.2009 0.0
243     70.265   -381.25 9.2009 0.0
244     70.265   -374.75 9.2009 0.0
245     70.265   -368.24 9.2009 0.0
246     70.265   -361.73 9.2009 0.0
247     70.265   -355.23 9.2009 0.0
248     76.771   -400.77 9.2009 0.0
249     76.771   -394.27 9.2009 0.0
250     76.771   -387.76 9.2009 0.0
251     76.771   -381.25 9.2009 0.0
252     76.771   -374.75 9.2009 0.0
253     76.771   -368.24 9.2009 0.0
254     76.771   -361.73 9.2009 0.0
255     76.771   -355.23 9.2009 0.0
256     85.229   -400.77 9.2009 0.0
257     85.229   -394.27 9.2009 0.0
258     85.229   -387.76 9.2009 0.0
259     85.229   -381.25 9.2009 0.0
260     85.229   -374.75 9.2009 0.0
261     85.229   -368.24 9.2009 0.0
262     85.229   -361.73 9.2009 0.0
263     85.229   -355.23 9.2009 0.0
264     91.735   -400.77 9.2009 0.0
265     91.735   -394.27 9.2009 0.0
266     91.735   -387.76 9.2009 0.0
267     91.735   -381.25 9.2009 0.0
268     91.735   -374.75 9.2009 0.0
269     91.735   -368.24 9.2009 0.0
270     91.735   -361.73 9.2009 0.0
271     91.735   -355.23 9.2009 0.0
272     98.241   -400.77 9.2009 0.0
273     98.241   -394.27 9.2009 0.0
274     98.241   -387.76 9.2009 0.0
275     98.241   -381.25 9.2009 0.0
276     98.241   -374.75 9.2009 0.0
277     98.241   -368.24 9.2009 0.0
278     98.241   -361.73 9.2009 0.0
279     98.241   -355.23 9.2009 0.0
280     104.75   -400.77 9.2009 0.0
281     104.75   -394.27 9.2009 0.0
282     104.75   -387.76 9.2009 0.0
283     104.75   -381.25 9.2009 0.0
284     104.75   -374.75 9.2009 0.0
285     104.75   -368.24 9.2009 0.0
286     104.75   -361.73 9.2009 0.0
287     104.75   -355.23 9.2009 0.0
288     111.25   -400.77 9.2009 0.0
289     111.25   -394.27 9.2009 0.0
290     111.25   -387.76 9.2009 0.0
291     111.25   -381.25 9.2009 0.0
292     111.25   -374.75 9.2009 0.0
293     111.25   -368.24 9.2009 0.0
294     111.25   -361.73 9.2009 0.0
295     111.25   -355.23 9.2009 0.0
296     117.76   -400.77 9.2009 0.0
297     117.76   -394.27 9.2009 0.0
298     117.76   -387.76 9.2009 0.0
299     117.76   -381.25 9.2009 0.0
300     117.76   -374.75 9.2009 0.0
301     117.76   -368.24 9.2009 0.0
302     117.76   -361.73 9.2009 0.0
303     117.76   -355.23 9.2009 0.0
304     124.26   -400.77 9.2009 0.0
305     124.26   -394.27 9.2009 0.0
306     124.26   -387.76 9.2009 0.0
307     124.26   -381.25 9.2009 0.0
308     124.26   -374.75 9.2009 0.0
309     124.26   -368.24 9.2009 0.0
310     124.26   -361.73 9.2009 0.0
311     124.26   -355.23 9.2009 0.0
312     130.77   -400.77 9.2009 0.0
313     130.77   -394.27 9.2009 0.0
314     130.77   -387.76 9.2009 0.0
315     130.77   -381.25 9.2009 0.0
316     130.77   -374.75 9.2009 0.0
317     130.77   -368.24 9.2009 0.0
318     130.77   -361.73 9.2009 0.0
319     130.77   -355.23 9.2009 0.0
320    -238.77   -346.77 9.2009 0.0
321    -238.77   -340.27 9.2009 0.0
322    -238.77   -333.76 9.2009 0.0
323    -238.77   -327.25 9.2009 0.0
324    -238.77   -320.75 9.2009 0.0
325    -238.77   -314.24 9.2009 0.0
326    -238.77   -307.73 9.2009 0.0
327    -238.77   -301.23 9.2009 0.0
328    -232.26   -346.77 9.2009 0.0
329    -232.26   -340.27 9.2009 0.0
330    -232.26   -333.76 9.2009 0.0
331    -232.26   -327.25 9.2009 0.0
332    -232.26   -320.75 9.2009 0.0
333    -232.26   -314.24 9.2009 0.0
334    -232.26   -307.73 9.2009 0.0
335    -232.26   -301.23 9.2009 0.0
336    -225.76   -346.77 9.2009 0.0
337    -225.76   -340.27 9.2009 0.0
338    -225.76   -333.76 9.2009 0.0
339    -225.76   -327.25 9.2009 0.0
340    -225.76   -320.75 9.2009 0.0
341    -225.76   -314.24 9.2009 0.0
342    -225.76   -307.73 9.2009 0.0
343    -225.76   -301.23 9.2009 0.0
344    -219.25   -346.77 9.2009 0.0
345    -219.25   -340.27 9.2009 0.0
346    -219.25   -333.76 9.2009 0.0
347    -219.25   -327.25 9.2009 0.0
348    -219.25   -320.75 9.2009 0.0
349    -219.25   -314.24 9.2009 0.0
350    -219.25   -307.73 9.2009 0.0
351    -219.25   -301.23 9.2009 0.0
352    -212.75   -346.77 9.2009 0.0
353    -212.75   -340.27 9.2009 0.0
354    -212.75   -333.76 9.2009 0.0
355    -212.75   -327.25 9.2009 0.0
356    -212.75   -320.75 9.2009 0.0
357    -212.75   -314.24 9.2009 0.0
358    -212.75   -307.73 9.2009 0.0
359    -212.75   -301.23 9.2009 0.0
360    -206.24   -346.77 9.2009 0.0
361    -206.24   -340.27 9.2009 0.0
362    -206.24   -333.76 9.2009 0.0
363    -206.24   -327.25 9.2009 0.0
364    -206.24   -320.75 9.2009 0.0
365    -206.24   -314.24 9.2009 0.0
366    -206.24   -307.73 9.2009 0.0
367    -206.24   -301.23 9.2009 0.0
368    -199.74   -346.77 9.2009 0.0
369    -199.74   -340.27 9.2009 0.0
370    -199.74   -333.76 9.2009 0.0
371    -199.74   -327.25 9.2009 0.0
372    -199.74   -320.75 9.2009 0.0
373    -199.74   -314.24 9.2009 0.0
374    -199.74   -307.73 9.2009 0.0
375    -199.74   -301.23 9.2009 0.0
376    -193.23   -346.77 9.2009 0.0
377    -193.23   -340.27 9.2009 0.0
378    -193.23   -333.76 9.2009 0.0
379    -193.23   -327.25 9.2009 0.0
380    -193.23   -320.75 9.2009 0.0
381    -193.23   -314.24 9.2009 0.0
382    -193.23   -307.73 9.2009 0.0
383    -193.23   -301.23 9.2009 0.0
384    -184.77   -346.77 9.2009 0.0
385    -184.77   -340.27 9.2009 0.0
386    -184.77   -333.76 9.2009 0.0
387    -184.77   -327.25 9.2009 0.0
388    -184.77   -320.75 9.2009 0.0
389    -184.77   -314.24 9.2009 0.0
390    -184.77   -307.73 9.2009 0.0
391    -184.77   -301.23 9.2009 0.0
392    -178.26   -346.77 9.2009 0.0
393    -178.26   -340.27 9.2009 0.0
394    -178.26   -333.76 9.2009 0.0
395    -178.26   -327.25 9.2009 0.0
396    -178.26   -320.75 9.2009 0.0
397    -178.26   -314.24 9.2009 0.0
398    -178.26   -307.73 9.2009 0.0
399    -178.26   -301.23 9.2009 0.0
400    -171.76   -346.77 9.2009 0.0
401    -171.76   -340.27 9.2009 0.0
402    -171.76   -333.76 9.2009 0.0
403    -171.76   -327.25 9.2009 0.0
404    -171.76   -320.75 9.2009 0.0
405    -171.76   -314.24 9.2009 0.0
406    -171.76   -307.73 9.2009 0.0
407    -171.76   -301.23 9.2009 0.0
408    -165.25   -346.77 9.2009 0.0
409    -165.25   -340.27 9.2009 0.0
410    -165.25   -333.76 9.2009 0.0
411    -165.25   -327.25 9.2009 0.0
412    -165.25   -320.75 9.2009 0.0
413    -165.25   -314.24 9.2009 0.0
414    -165.25   -307.73 9.2009 0.0
415    -165.25   -301.23 9.2009 0.0
416    -158.75   -346.77 9.2009 0.0
417    -158.75   -340.27 9.2009 0.0
418    -158.75   -333.76 9.2009 0.0
419    -158.75   -327.25 9.2009 0.0
420    -158.75   -320.75 9.2009 0.0
421    -158.75   -314.24 9.2009 0.0
422    -158.75   -307.73 9.2009 0.0
423    -158.75   -301.23 9.2009 0.0
424    -152.24   -346.77 9.2009 0.0
425    -152.24   -340.27 9.2009 0.0
426    -152.24   -333.76 9.2009 0.0
427    -152.24   -327.25 9.2009 0.0
428    -152.24   -320.75 9.2009 0.0
429    -152.24   -314.24 9.2009 0.0
430    -152.24   -307.73 9.2009 0.0
431    -152.24   -301.23 9.2009 0.0
432    -145.74   -346.77 9.2009 0.0
433    -145.74   -340.27 9.2009 0.0
434    -145.74   -333.76 9.2009 0.0
435    -145.74   -327.25 9.2009 0.0
436    -145.74   -320.75 9.2009 0.0
437    -145.74   -314.24 9.2009 0.0
438    -145.74   -307.73 9.2009 0.0
439    -145.74   -301.23 9.2009 0.0
440    -139.23   -346.77 9.2009 0.0
441    -139.23   -340.27 9.2009 0.0
442    -139.23   -333.76 9.2009 0.0
443    -139.23   -327.25 9.2009 0.0
444    -139.23   -320.75 9.2009 0.0
445    -139.23   -314.24 9.2009 0.0
446    -139.23   -307.73 9.2009 0.0
